Actual,Predicted
0.0458498023715415,0.04419508292944796
0.0015810276679841897,0.02760875336384358
0.037267080745341616,0.04097936597285119
0.0088085827216262,0.030316725537819805
0.006211180124223602,0.0293435480377971
0.04991530208921513,0.045718317277309586
0.023150762281197064,0.035690357820553874
0.03794466403162055,0.041233238364161456
0.0036137775268210047,0.028370370537774393
0.046753246753246755,0.04453357945119499
0.02947487295313382,0.03805983347278307
0.05499717673630717,0.047622360212136616
0.0003387916431394692,0.027143320646441416
0.005533596837944664,0.029089675646486828
0.030604178430265385,0.038482954124966856
0.005081874647092038,0.028920427385613314
0.000564652738565782,0.027227944776878173
0.017730095990965554,0.033659378690071705
0.040654997176736304,0.04224872792940254
0.02224731789949181,0.035351861298806846
0.04901185770750988,0.04537982075556256
0.000564652738565782,0.027227944776878173
0.019198193111236588,0.03420943553791063
0.020214568040654995,0.03459024412487603
0.05341614906832298,0.04702999129907932
0.043139469226425746,0.043179593364206875
0.04268774703557312,0.04301034510333336
0.044042913608131,0.0435180898859539
0.05093167701863354,0.04609912586427499
0.022811970638057594,0.03556342162489874
0.007340485601355166,0.029766668689980885
0.006888763410502541,0.02959742042910737
0.019988706945228682,0.034505619994439275
0.014568040654997177,0.032474640863957106
0.05386787125917561,0.04719923955995283
0.03794466403162055,0.041233238364161456
0.013212874082439301,0.031966896081336564
0.010954263128176172,0.031120654776968997
0.01727837380011293,0.03349013042919819
0.016149068322981366,0.033067009777014406
0.020553359683794466,0.03471718032053117
0.006888763410502541,0.02959742042910737
0.02947487295313382,0.03805983347278307
0.008018068887634107,0.030020541081291156
0.05386787125917561,0.04719923955995283
0.0088085827216262,0.030316725537819805
0.042348955392433656,0.04288340890767822
0.03794466403162055,0.041233238364161456
0.037267080745341616,0.04097936597285119
0.0458498023715415,0.04419508292944796
0.0059853190287972894,0.029258923907360342
0.7907396950875212,0.32328546510987266
0.030604178430265385,0.038482954124966856
0.01693958215697346,0.03336319423354306
0.04257481648785996,0.04296803303811498
0.04178430265386787,0.04267184858158633
0.01693958215697346,0.03336319423354306
0.021456804065499716,0.0350556768422782
0.04268774703557312,0.04301034510333336
0.0015810276679841897,0.02760875336384358
0.04901185770750988,0.04537982075556256
0.009937888198757764,0.03073984619000359
0.009937888198757764,0.03073984619000359
0.030717108977978542,0.03852526619018523
0.01072840203274986,0.03103603064653224
0.03579898362507058,0.04042930912501227
